,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
206,1040,True,log,0.5755460664960473,0.7494498411809117,0.3206821557689577,0.44916453458137207,0.7063154847818158
207,1040,True,tree100,0.5594689098728332,0.591698895199658,0.5925888193922363,0.5921421614684601,0.5311975128724751
208,1050,True,log,0.5752555281777136,0.7510588287468682,0.31917053652892347,0.44795186122967146,0.7014282584485629
209,1050,True,tree100,0.5616636433272475,0.5939317961434941,0.5948817196175297,0.5944034303606704,0.5292926798097519
210,1060,True,log,0.5757498044574502,0.751200656832264,0.3210505762892011,0.44983943751406363,0.700710300215102
211,1060,True,tree100,0.560561188412555,0.5934809692903139,0.592337749419832,0.5929029736050557,0.5290648757631903
212,1070,True,log,0.5761978705434527,0.7510928988630355,0.3211126466344186,0.44988299014735167,0.6980540496052253
213,1070,True,tree100,0.5611147848019332,0.5931406802701845,0.5946374888670031,0.5938797034892734,0.5285969565301021
214,1080,True,log,0.5756952686328615,0.7482827659768232,0.32377653371824555,0.451979472945007,0.7005922550951189
215,1080,True,tree100,0.5585720821961117,0.5911374819319233,0.5940330249357645,0.5925710657518821,0.5246238830293679
216,1090,True,log,0.5753794819905859,0.751092811918394,0.31858407041086073,0.44739287696150176,0.7042698828827989
217,1090,True,tree100,0.5589018312201814,0.5910748688478972,0.5921580090432421,0.591611686951141,0.5274227387842846
218,1100,True,log,0.5763863600404578,0.7509439619995545,0.32224850623089984,0.4509569478895967,0.7032011841948193
219,1100,True,tree100,0.5583927158704796,0.5910769298644574,0.5906869892750993,0.5908793338762486,0.5313860991017992
220,1110,True,log,0.5766870424079427,0.7521082225441282,0.319570069382905,0.4485316852693028,0.7015465579505752
221,1110,True,tree100,0.5583470244243027,0.5906357505697329,0.5870262999713575,0.588823746771501,0.5233153814976387
222,1120,True,log,0.5764702479409782,0.7498871342615185,0.32354474215036466,0.45202193095072946,0.6976334386319328
223,1120,True,tree100,0.5590664575861657,0.591883693701583,0.5905540808498678,0.5912162213058434,0.5234344547020744
224,1130,True,log,0.5760136402407241,0.751439519715403,0.3212488920094422,0.4500607313023437,0.701600360573108
225,1130,True,tree100,0.5599658439612952,0.5923859941119053,0.5939408970260344,0.5931612333314217,0.5244468482215354
226,1140,True,log,0.5784028139207835,0.7533197604950858,0.3262112728630086,0.4552691166924972,0.7069010613515033
227,1140,True,tree100,0.5603473852657411,0.5930656287580588,0.5926091825307951,0.5928246449629151,0.528043893898933
